Project name,Project Ticker,since,Max. Supply,Type of Funding,Consensus Type,Algorithm,Base Code,Mineable,Difficulty Adjustment,Block Size (MD),block time,Transactions Per second,MasterNodes,Privacy By default,optional privacy,Privacy Type/Features,other features,Community size,developers count,Team Members total,official website,repository,oficial paper,offers exclusive mobile wallet?,open source mobile wallets,open source wallet ios,open source wallet Android,notes
Zcash,ZEC,2014,"21,000,000",Dev Fund,POW,Equihash,Bitcoin,Yes,Every Block,2MB,37 seconds,26.67,No,NO,Yes,Zero Knowledge Proofs,,"76,920",13,28,https://z.cash/,https://github.com/zcash,http://zerocash-project.org/media/pdf/zerocash-extended-20140518.pdf,yes,yes,https://z.cash/wallets/,,
Monero,XMR,2014,"18,400,000",,POW,RandomX,,Yes,Every Block,dynamic,60 s,30,No,YES,Yes,CryptoNote,,"184,342",49,,https://web.getmonero.org/,https://github.com/monero-project,https://github.com/monero-project/research-lab/blob/master/whitepaper/whitepaper.pdf,yes,yes,https://github.com/cake-tech/cake_wallet,,
DASH,DASH,,"18,900,000",10% it receives from mining,POW,X11,Bitcoin,Yes,,,2.5 minutes,56,Yes,,,PrivateSend / CoinJoin,,"402,482",29,71,http://dash.org/,https://github.com/dashpay,,yes,yes,https://github.com/dashevo/dashwallet-ios,https://github.com/dashevo/dash-wallet,
Bytecoin,BCN,,"184,470,000,000",,,,,,,,,60,No,,,CryptoNote,,"59,944",4,26,https://bytecoin.org/,https://github.com/bcndev/bytecoin,https://cryptonote.org/whitepaper.pdf,android only,no,,,
Verge,XVG,2014,"16,555,000,000",Donations,Multi-Proof-of-Work (POW),"Scrypt, X17, Lyra2rev2, Myriad-Groestl and Blake2s",Peercoin,YES,Dark Gravity?,,30s,100,No,NO,yes,": Tor IP obfuscation , I2P","Encrypted Messaging, Verge was several times successfully attacked in the past","347,383",3,11,https://vergecurrency.com/,https://github.com/vergecurrency,https://vergecurrency.com/static/blackpaper/verge-blackpaper-v5.0.pdf,yes,yes,https://github.com/vergecurrency/vIOS,,
Electroneum,ETN,2017,"21,000,000,000",ICO,Proof-of-Work (POW),Cryptonight,Monero,YES,,,60 seconds,15,No,,,,"Controversial KYC and AML verification, Simulated Android Mining with Rewards,","272,209",8,12,https://electroneum.com/,https://github.com/electroneum,No paper,yes,no,,,
PIVX,PIVX,2016,unlimited,16.66% of Rewards for Budgeting System,Proof-of-Stake (POS) + Masternodes,POS v3.0,DASH,NO,every block,2,1 minute,173,YES,NO,YES,"Zerocoin Protocol, RSA-Accumulator, Coin mixing,",SwiftX,"91,753",10,22,https://pivx.org/,https://github.com/PIVX-Project,https://pivx.org/wp-content/uploads/2017/03/PIVX-purple-paper-Technincal-Notes.pdf,yes,yes,https://github.com/PIVX-Project/PIVX-iOS,https://github.com/PIVX-Project/PIVX-Android,
Zcoin,XZC,2016,"21,400,000","10% of Blockrewards for Founders Reward = 2,140,000",Proof-of-Work (POW) + Masternodes,MTP (Merkle Tree Proof),Zerocoin,,,,5 minutes,48,YES,,,"Zerocoin, integrated Tor, Dandelion, RSA accumulator",,"94,351",10,16,https://zcoin.io/,https://github.com/zcoinofficial/zcoin,https://zcoin.io/wp-content/uploads/2016/11/zerocoinwhitepaper.pdf,no,,,,
Bitcoin Private,BTCP,2018,"21,000,000","Voluntary Miner Contribution Program,",Proof-of-Work (POW),Equihash,Fork from ZCL and BTC,YES,,2 MB,2.5 m,,NO,NO,YES,zk-SNARKs,,"65,016",20,34,https://btcprivate.org/,https://github.com/BTCPrivate/BitcoinPrivate,https://btcprivate.org/whitepaper.pdf,no,,,,
Enigma,ENG,2017,"150,000,000",ICO,Multi-tiered Proof-of-Staking System,,Ethereum,NO,,,,,NO,,,Secret Contracts/Secure computation,Catalyst,"61,922",9,15,https://www.enigma.co/,https://github.com/enigmampc,no paper,no,,,,
Apollo Currency,APL,2018,"21,165,096,531","100% pre-mine: 10% to NXT holders, 37% Dev fund, 53% private/public investors",Proof-of-Stake (POS),,NXT Fork,NO,,,,,NO,NO,YES,"Coin shuffling, IP masking, Coin Mixing, private ledger function","Encrypted messaging, Alias System, File Storage,","139,965",6,18,https://apollocurrency.com/en/,https://github.com/ApolloFoundation/Apollo,https://www.dropbox.com/s/d1snbit9g2xf2ke/ApolloEnglishWhitepaper.pdf?dl=0,yes,no,,,
GRIN,GRIN,2019,Unlimited,"Donations only, 100% community-driven funding model",Proof-of-Work (POW),Cuckoo Cycle,MimbleWimble Protocol,YES,,,1 minute,,NO,,,MimbleWimble,,"13,454",,,https://grin.mw/,https://github.com/mimblewimble,https://download.wpsoftware.net/bitcoin/wizardry/mimblewimble.txt,no,,,,
NAVcoin,NAV,2014,Unlimited,Community Fund (details not clear),Proof-of-Stake (POS),,Bitcoin Core,NO,,,30 seconds,"260+ T/s tested, Target: 1,120",NO,NO,YES,"RSA, Dual-Chain, Secret Token, ZeroCT (testing)","OpenAlias, Cold staking, Multi-person wallets, SegWit,","54,403",,,https://navcoin.org/en,https://github.com/NAVCoin,,yes,yes,https://github.com/sakdeniz/next,,
Zclassic,ZCL,2016,"21,000,000",Donations only,Proof-of-Work (POW),Equihash,Zcash,YES,"Digishield V3, Difficulty adjusts each block",,2.5 minutes,,NO,NO,YES,Zero-knowledge,Sapling,"43,081",,,https://www.zclassic.org/,https://github.com/ZclassicCommunity/zclassic,no paper,no,,,,
BEAM,BEAM,2019,"262,800,000",In the first 5 years 25% of Blockrewards,Proof-of-Work (POW),Equihash 150/5,Mimblewimble protocol,YES,,,1 minute,"Currently ~17 T/s, Target: 60",NO,YES,"YES, Auditor keys","Dandelion, Mimblewimble protocol","atomic swap, No addresses or other private information stored on the blockchain","9,634",8,18,https://beam.mw/,https://github.com/BeamMW/beam,https://docs.beam.mw/BEAM_Position_Paper_v0.2.2.pdf,yes,no,,,
DERO,DERO,2017,"18,400,000,","Premine: 2,000,000",DAG + Proof-of-Work (POW),CryptoNight,Dag/CryptoNote protocol,YES,Retargets at every block,1.25MB,12 seconds,,NO,YES,,"SSL/TLS network, Zero Knowledge range-proofs(NIZK), Ring Confidential Transactions (RingCT)","Dero Rocket Bulletproofs, No Orphan Blocks","4,084",,,https://dero.io/#!,https://github.com/deroproject,https://dero.io/attachment/Whitepaper.pdf,no,,,,
LOKI,LOKI,2018,"150,000,000","Premine 22,500,000 + 5% of Blockrewards for Governance",Hybrid Proof-of-Work (POW) / Proof-of-Service,Cryptonight Heavy,Monero,YES,Zawy LWMA,Dynamic Block Size, 2 minutes,,Service Nodes,YES,NO,"LLARP, Tor, I2P, Ring signatures, Stealth addresses, RingCT,","SNApps (Service Node Applications), Loki Messenger, Blink (near instant transaction),","6,641",8,14,https://loki.network/,https://github.com/loki-project/,https://loki.network/wp-content/uploads/2018/10/LokiWhitepaperV3_1.pdf,yes,yes,https://github.com/loki-project/session-ios,https://github.com/loki-project/session-android,chat app ?
DAPS Project,DAPS,2018,"70,000,000,000",Founder Fee: 4.76% of Blockrewards,PoA/PoS v3.0/MN,in-house PoW algo called Proof-Of-Audit,ERC-20 Based,NO,,10MB,1,,YES,YES,YES,"RingCT, Stealth Addresses, Mandatory TOR/OBFS4 node relays, ZK-Starks (planned)",,"3,031",3,19,https://officialdapscoin.com/,https://github.com/DAPScoin/,https://officialdapscoin.com/wp-content/uploads/2019/05/whitepaper.pdf,no,,,,
CrypticCoin,CRYP,2018,"~7,600,000,000",Premined: 55% !!!,Proof-of-Work (POW),Equihash,Bitcoin,YES,,,,,NO,YES,YES,"Enriched ZeroCash Protocol zk-SNARKs, Hybrid Stealth Addressing, Tor IP obfuscation service",Dual-Coin-System,"4,668",2,10,https://crypticcoin.io/,https://github.com/crypticcoinvip,https://crypticcoin.io/wp-content/uploads/2018/04/CrypticCoin-Technical-4-24-18.compressed.pdf,no,,,,
Aeon,AEON,2014,18.400.000,Voluntary community donations,KangarooTwelve (POW),CryptoNight-Lite,CryptoNote,YES,Retargets at every block,,240 seconds = 4 minutes,,NO,YES,YES,Ring signatures,NO Whitepaper!!,"13,162",,,http://www.aeon.cash/,https://github.com/aeonix/aeon-gui,no paper,no,,,,
Spectrecoin,XSPEC,2016,Unlimited,1/6 (~16.7%) of Block Rewards go to team development fund,Proof-of-Stake v3.0 (POS),Proof-of-Stealth anonymous staking algorithm,Blackcoin,NO,,,1 minute,100,NO,NO,YES,"Built in Tor, Ring Signatures, OBFS4, Stealth addresses","Dual-coin system, Anonymous Spectrecoin Creation",,4,8,https://spectreproject.io/,https://github.com/spectrecoin/spectre,https://spectreproject.io/Spectrecoin_White-Paper.pdf,no,,,,
DeepOnion,ONION,2017,"25,000,000","Absolute unclear: Premine + Airdrops + 2,000,000 hold by Founding Members",Hybrid Proof-of-Work (POW) / Proof-of-Stake (POS),X13,,YES,diff retarget each block,,3 or 4 minutes,62,NO,,,"Onion Router protocol (TOR Network), Stealth adresses, OBFS4, Meek, DeepSend","DeepVault notarization technology, browser apps, VoteCentral","15,923",9,21,https://deeponion.org/,https://github.com/deeponion/deeponion,https://deeponion.org/downloads/whitepaper.pdf,android only,yes,https://github.com/deeponion/electrum-deeponion,,electrum clone
CloakCoin,CLOAK,2014,"Today 5,277,872, +6% yearly","Self-funded, Donations",Proof-of-Stake (POS),improved version of PoSA3,Bitcoin Codebase v0.17.0.1,NO,,,1 minute,,NO,YES,YES,"CloakShield, Enigma, Stealth addresses",,"26,344",4,23,https://www.cloakcoin.com/en/home.html,https://github.com/CloakProject,https://www.cloakcoin.com/en/project/whitepaper,android only,yes,,https://github.com/CloakProject/cloakcoin-mobile-wallet,
Phore,PHR,2017,"30,000,000",Development Fund - 10% of block rewards,Proof-of-Stake (POS),POS v3.0,Rebrand of KryptKoin (KTK),NO,,,1 minute,,YES,NO,YES,"Zerocoin Protocol (zPHR),","Segwit Integration,","63,040",6,18,https://phore.io/,https://github.com/phoreproject/Phore,https://phore.io/wp-content/uploads/2019/03/Phore_Blockchain_Whitepaper_v2.2.1_English.pdf,yes,yes,https://github.com/phoreproject/Phore-iOS,https://github.com/phoreproject/Phore-Android,
Graft,GRFT,2018,"1,844,674,400","Donations, Investors",Hybrid Proof-of-Stake (POS) / Proof-of-Work (POW),Cryptonight V8,Cryptonote??,YES,,,2 minutes,,"NO, but Supernode, Proxy Supernode",,"YES, digital identity profile",CryptoNote protocol,instant transation speed,"3,981",4,14,https://www.graft.network/,https://github.com/graft-project,https://www.graft.network/wp-content/uploads/2018/02/Graft-White-Paper-1.2.pdf,yes,no,,,
Stealth,XST,2014,"20,700,000","Premine: 232,740 = ~1%",Quantum Proof-of-Stake (qPoS),X13,,NO,,,: 1 minute,,NO,,,"Tor Privacy, StealthText (anonymous cryptographic SMS transaction sending technology)",StealthRelay,"11,580",,,https://stealth.org/,https://github.com/StealthSend/Stealth/wiki/Stealth-Quantum-PoS-(qPoS),https://github.com/StealthSend/Stealth/wiki/Stealth-Quantum-PoS-(qPoS),yes,no,,,
Haven Protocol,XHV,2018,"18,400,000 coins before tail emission and Offshore Storage",5% governance fee from block reward,Proof-of-Work (POW),Cryptonight Haven,Monero,YES,LWMA difficulty algorithim,,2 minutes,,NO,YES,NO,"Offshore Storage (burning), Ring signatures, Ring Confidential Transactions (RingCT), stealth addresses","stable fiat value storage, dual coin blockchain","8,137",,,https://www.havenprotocol.com/,https://github.com/haven-protocol-org,https://www.havenprotocol.com/files/ugd/4f3cdc_fadc169c04a342a9bc4eee93f408628a.pdf,no,,,,
Shield,XSH,2017,"752,520,000",Donations only driven,Hybrid Multi-Proof-of-Work (POW)/ Proof of Stake (POS),"Scrypt, X16s, X17, Myriad-Groestl, Blake2s, Lyra2rev2",Bitcoin Core v0.16.1,YES,,,45 seconds,,YES,NO,YES,???,"PoS BOO, social media integration (planned)",,,,http://www.shield-coin.com/,https://github.com/ShieldCoin/SHIELD,no paper,no,,,,
BitcoinZ,BTCZ,2017,"21,000,000,000",,Proof-of-Work (POW),Zhash (Equihash) 144/5,Zcash,YES,,,2.5 Minutes,,NO,YES,,zk-SNARKs,,"5,955",,,https://btcz.rocks/,https://github.com/btcz/bitcoinz,https://drive.google.com/file/d/1aLuEcyHNKq215X4am2YQNXfQmPnV1pTt/edit,no,,,,
SnowGem,SnowGem,2018,"84,096,000",7.5% founders reward per block,Proof-of-Work (POW),Zhash (Equihash) 144/5,Zcash,YES,Difficulty Re-targeting every block,,1 minute,,YES,NO,YES,zSNARKs,,"1,299",5,7,https://snowgem.org/,https://github.com/Snowgem/Snowgem,no paper,no,,,,
Ryo Currency,RYO,2018,80.188.888,"8,000,000 Dev Fund over 6 years",Proof-of-Work (POW),Cryptonite GPU,Monero,YES,Difficulty adjusted every block,,240 seconds = 4 minutes,,NO,YES,NO,Ring Confidential Transactions (RingCT) with minimum ringsize of 25,"Bulletproofs, Increasing default ring sizes. (up to 100+","1,256",2,7,https://ryo-currency.com/,https://github.com/ryo-currency/ryo-currency,https://cryptonote.org/whitepaper.pdf,no,,,,
Zero,ZER,2017,"17,000,000",7.5% per block.for development,Proof-of-Work (POW),Equihash 192/7,Zcash,YES,,,2 minutes,,NO,NO,YES,"zk-SNARKs, latest Zcash technology pulled",,"3,493",2,7,https://github.com/zerocurrency/zero,https://github.com/zerocurrency/zero,no paper,no,,,,
