Project name,Project Ticker,since,Max. Supply,Type of Funding,Consensus Type,Algorithm,Base Code,Mineable,Difficulty Adjustment,Block Size (MD),block time,Transactions Per second,MasterNodes,Privacy By default,optional privacy,Privacy Type/Features,other features,Community size,developers count,Team Members total,official website,repository,oficial paper,offers exclusive mobile wallet?,open source mobile wallets,open source wallet ios,open source wallet Android,notes
VEIL,VEIL,2019,"300,000,000","Different Founder Rewards per year, declining over time.",Hybrid Proof-of-Stake (POS) / Proof-of-Work (POW),X16RT,Bitcoin Core 0.17.1,YES,retargeting every block,2 MB,1 minute,,NO,YES,NO,"Zerocoin protocol, Dandelion protocol, Confidential Transactions (RingCT)","Bulletproofs, multi-transaction Zerocoin spends",,,,https://veil-project.com/,https://github.com/Veil-Project/veil,no paper,no,,,,
Sumokoin,SUMO,2017,"88,888,888","~8,800,000",Proof-of-Work (POW),Cryptonite,Cryptonite,YES,,,240 seconds = 4 minutes,,NO,,,Confidential Transactions (RingCT),Bulletproof,"7,101",4,4,https://www.sumokoin.org/,https://github.com/sumoprojects/sumokoin,https://cryptonote.org/whitepaper.pdf,no,,,,
Bitcoin Zero,BZX,2018,"40,000,000",From Block Reward: 31 of 75 to dev fund,Hybrid Proof-of-Work (POW) / Proof-of-Stake (POS),Lyra2z,"First ever TRIPLE fork from BTC, LTC, HXX",YES,Dark Gravity Wave,4MB,2.5 minutes,,YES,NO,YES,ZeroCoin Protocol patched,"AtomicSwap, three coin privacy-focused ecosystem","2,923",4,12,,https://github.com/SpecialCoins/BitcoinZero/,no paper,no,,,,
Lobstex,LOBS,2018,"78,600,000","Premine: 2,500,000",Proof-of-Stake (POS),Quark,,NO,,,1 minute,,YES,NO,YES,Zerocoin Protocol,,,,,http://www.lobstex.com/,https://github.com/avymantech/lobstex,http://lobstex.com/wp-content/uploads/2018/08/Lobstex-Whitepaper.pdf,no,,,,
Bulwark,BWK,2017,"27,000,000","Unclear, Funding Problems !!!",Proof-of-Stake (POS),,"PIVX 2.3, then backported code from Bitcoin 0.13 and DASH 12.1",NO,,,90 seconds,,YES,NO,YES,Zerocoin Protocol,"Bulwark Secure Home Node, Citadel Home Router","7,613",4,7,down,https://github.com/bulwark-crypto,no paper,no,,,,
NOIR (rebrand of Zoin!),NOR,"2016, NOIR since November 2018","21,000,000",From block rewards: 37.5 of 50.0 to DEV fund (75% !!!),Proof-of-Work (POW),Lyra2z330,"Zcoin, unknown for Zcoin",YES,,,2.5 minutes,,YES,,,Zerocoin Protocol,"Zcoin discontinued, claims that some devs have stollen funds and rebranded it to NOIR",497,,,https://noirofficial.org/,https://github.com/noirofficial/noir,https://noirofficial.org/wp-content/uploads/2018/10/NoirWhitepaper.pdf,yes,no,,,
HUSH,HUSH,2016,"21,000,000","Premine: 0.578% (121,475), Founder Reward removed",Proof-of-Work (POW),Equihash,Bitcoin??,YES,"Every block, Digishield V3","unknown, no whitepaper !!!",2.5 minutes,,NO??,"unknown, no whitepaper !!!","unknown, no whitepaper !!!","zkSNARK (upstream Zcash 1.0.13 build), TLS (secure nodes), TOR nodes","Private Hush Messenger, HushList,","4,810",3,4,https://myhush.org/,https://github.com/MyHush/hush3,https://github.com/leto/hushlist/blob/master/whitepaper/protocol.pdf,no,,,,
Wispr,WSP,2018,"120,000,000","Premine: 25,000,000",v3.0 Proof-of-Stake (PoS),,"Blackcoin, a fork from Bitcoin",NO,,,1 minute,,YES,,,"unknown, no whitepaper !!!",,941,5,12,down,https://github.com/WisprProject/core,,no,,,,
PRiVCY,PRIV,2018,"30,000,000",premined coins: 21 000 000 !!!,Hybrid Proof-of-Stake (POS) / Proof-Of-Work (POW),X13,,YES,,1.5 MB,27.0 seconds,,NO,,,"PRiVCY Mixer + integrated with TOR, Stealth adresses",PRIVCY Messenger,"5,849",,,https://privcy.eu/,https://github.com/privcycoin/privcy,https://privcy.eu/#whitepaper,yes,no,,,
Crave,CRAVE,2015,"1,000,000,000",Up to 9% of block rewards are allocated to project development,v3.0 Proof-of-Stake (PoS),SHA-256,"Bitcoin, DASH, PIVX",NO,,Adaptive Blocks up to 40MB,1 minute,,YES,,,Zerocoin Protocol which uses the RSA-2048 accumulator,LightX,"2,657",3,,https://crave.cc/,https://github.com/Crave-Community-Project,https://crave.cc/pdf/White_Paper_for_Crave_NextGen.pdf,no,no,,,
Bitcash,BITC,2019,"100,000,000 (planned)",9.7% premine + 10% developer reward from mining,Proof of Work (POW),X16R,BitCoin v0.16 fork,YES,Virtual Timespan Retargeting (VTR),,1 minute,,NO,YES,"YES, law enforcement agencies can request a “Private Master Key”",Monero stealth adresses,"Named accounts, Stable currency feature, Send coins via Twitter, Twitch and Instagram",,,,https://www.choosebitcash.com/,https://github.com/WillyTheCat/BitCash,no paper,android only,no,,,
Bitcoin Confidentia,BC,2019,"8,000,000,000 (estiminated)",Self-funding budget,Proof-of-Stake (PoS),Improved Proof of Stake V3.0,Bitcoin codebase,NO,,,,,NO,YES,,Confidential Transactions (RingCT),"Cold staking, Segwit Ready, Lightning Network Ready,","22,326 (Smartcash Community)",11 (Smartcash Team),35,https://bitcoinconfidential.cc/,https://github.com/Bitcoin-Confidential,no paper,no,,,,
uPlexa,UPX,2018,"10,500,000,000",Premine: 7%,Proof-of-Work (POW),Modified CryptoNight-Light Variant 1 (CryptoNight-UPX),Cryptonote,YES,LWMA Difficulty Algorithm,2 minutes,,,NO,YES,,Ring Confidential Transactions (RingCT),"Mineable with Android Phones, Aims to be mineable with ioT devices,","7,420",,,https://uplexa.com/,https://github.com/uPlexa?tab=repositories,https://uplexa.com/content/uPlexa-Whitepaper-EN.pdf,android only,yes,,https://github.com/uPlexa/android-wallet,
Celo,cgld,2020,,% of block reward,proof-of-stake m,,,YES,,,5s,,,,,Privacy-Preserving EigenTrust through Zero-Knowledge Proofs,,,,,https://celo.org/,https://github.com/celo-org,https://celo.org/papers/Celo_A_Multi_Asset_Cryptographic_Protocol_for_Decentralized_Social_Payments.pdf,yes,yes,https://github.com/celo-org/celo-monorepo/tree/master/packages/mobile,https://github.com/celo-org/celo-monorepo/tree/master/packages/mobile,
Komodo,KMD,,,,,,,,,,,,,,,,,,,,https://komodoplatform.com/,https://github.com/KomodoPlatform,https://komodoplatform.com/wp-content/uploads/2018/06/Komodo-Whitepaper-June-3.pdf,multi currency,,,,
Horizen,ZEN,,,,proof-of-work,equihash,zcash?,yes,,,,,,,,,,,,,https://www.horizen.global/,https://github.com/ZencashOfficial,https://www.horizen.global/research/,no,,,,
Super Zero,SERO,,,,,,,,,,,,,,,,,,,,https://sero.cash/en/,https://github.com/sero-cash,https://sero.cash/SERO_ENG_V2.0.pdf,yes,no,,,
Counos X,CCXX,,,,,,,,,,,,,,,,,,,,https://www.counos.io/CounosX,https://github.com/counos-platform/counos-X,https://www.counos.io/Data/Sites/1/media/whitepages/counos-x-white-page.pdf,multi currency,,,,
MimbleWimbleCoin,MWC,,,,,,,,,,,,,,,,,,,,https://www.mwc.mw/,https://github.com/mwcproject,https://uploads-ssl.webflow.com/5c9d933e5b1cab3be19e150f/5eb336df8038fd0286ebd19c_mwc.pdf,no,,,,
Beldex,BDX,,,,,,,,,,,,,,,,,,,,https://www.beldex.io/,no,https://www.beldex.io/whitePaper,multi currency,,,,
Arpa Chain,ARPA,,,,,,,,,,,,,,,,,,,,https://arpachain.io/,no,https://docsend.com/view/t69gzij,no,,,,
Dusk Network,DUSK,,,,,,,,,,,,,,,,,,,,https://dusk.network/,https://github.com/dusk-network,https://docs.google.com/viewer?url=https://github.com/dusk-network/whitepaper/releases/download/v0.3/dusk-whitepaper.pdf,no,,,,
Particl,PART,,,,,,bitcoin,,,,,,,,,,,,,,https://particl.io/,https://github.com/particl,https://github.com/particl/whitepaper/blob/master/decentralized-private-marketplace-draft-0.1.pdf,no,no,,,
suterusu,SUTER,,,,,,,,,,,,,,,,,,,,https://www.suterusu.io/,https://github.com/suterusu-io,https://github.com/particl/whitepaper/blob/master/decentralized-private-marketplace-draft-0.1.pdf,no,,,,
King DAG,KDAG,,,,,,,,,,,,,,,,,,,,https://kdag.io/,https://github.com/Kdag-K,https://kdag.io/pdf.html,no,,,,
Origo,OGO,,,,,,,,,,,,,,,,,,,,https://origo.network/,https://github.com/origonnetwork/origo.github.io,https://origo.network/whitepaper,no,,,,
Pirate Chain ,ARRR,,,,,,,,,,,,,,,,,,,,https://pirate.black/,,https://pirate.black/files/whitepaper/The_Pirate_Code_V1.0.pdf,no,,,,
GHOSTPRISM,GHOST,,,,,,,,,,,,,,,,,,,,https://ghostxprism.com/,https://github.com/GhostXPrism,https://ghostxprism.com/downloads/GhostPrism_Litepaper_v2.pdf,no,,,,
pEOS,PEOS,,,,,,,,,,,,,,,,,,,,https://peos.one/,https://github.com/peosdev,https://peos.one/docs/pEOS_whitepaper_rev1_1.pdf,no,,,,
NIX,NIX,,,,,,,,,,,,,,,,,,,,https://nixplatform.io/,https://github.com/nixplatform/,https://nixplatform.io/docs/NIX-Platform-Whitepaper.pdf,no,no,,,
CUTcoin,CUT,,,,,,,,,,,,,,,,,,,,https://cutcoin.org/,https://github.com/cutcoin,https://static.cutcoin.org/cutcoin-whitepaper-v1.0.pdf,no,,,,
DigitalNote,XDN,,,,,,,,,,,,,,,,,,,,https://digitalnote.org/,https://github.com/xdn-project,https://digitalnote.org/wp-content/uploads/2020/02/DigitalNote_Whitepaper.pdf,no,,,,
ZumCoin,ZUM,,,,,,,,,,,,,,,,,,,,https://zumcoin.org/,https://github.com/zumcoin,http://cdn.bitcoin2.network/Documents/B2N%20-%20Brief%20Introduction%20v1.0.pdf,no,,,,
Tixl,MTXLT,,,,,,,,,,,,,,,,,,,,https://tixl.me/,no,https://tixl.me/whitepaper/,no,,,,
ZIP,ZIP,,,,,,,,,,,,,,,,,,,,https://www.zipper.io/#/,?,?,no,,,,
CloudBric,CLB,,,,,,,,,,,,,,,,,,,,https://v2.cloudbric.com/,https://github.com/Cloudbric-Project?tab=repositories,https://ico.cloudbric.io/upload/file/Cloudbric_Whitepaper_EN.pdf,no,,,,
SafeCoin,SAFE,,,,,,,,,,,,,,,,,,,,https://safecoin.org/,https://github.com/Fair-Exchange/safecoin,https://safecoin.org/whitepaper,android only,no,,,
Tarush,TAS,,,,,,,,,,,,,,,,,,,,https://tarush.tech/,https://github.com/TarushTech,https://tarush.tech/Litepaper.pdf,site offline,,,,
BZEdge,BZE,,,,,,zcash,,,,,,,,,,,,,,https://getbze.com/,https://github.com/bze-alphateam/bzedge,https://getbze.com/BZedgeWhitePaper.pdf,no,,,,
COVA,COVA,,,,,,,,,,,,,,,,,,,,https://covalent.ai/?__cf_chl_jschl_tk__=b753cb9c2df0f7f4475ca83ff6be49d60f02fb6d-1592089241-0-AeXJPoc5tcPyUR7KPBWeXv4IwJUm7P4bo997qTqiDRaO6LF2th6-BteOjtebYvJ5mUaGW6ImmeIg98kTZqAENun3pHZLZvfxsd63TGI0kVZl1mQSXadUIhsj4Grp4id4mvgmu0ML-tjq-fLdROD1YmWlMiUB5T9dm55VmwpYiL_HXdE3A3xddU6jEfCCNXdYtnNadGzXePgnvVpIIbl-4KAiVb-acgEIKe-zgKv7q9v0VEps6I4pUrn2EaT7Bw2LzzBFWvozVw7lMv-O75vDdq8,https://github.com/covalent-hq,https://docsend.com/view/dvvb75n,no,,,,
Epic Cash,EPIC,,,,,,,,,,,,,,,,,,,,https://epic.tech/,https://gitlab.com/epiccash,https://epic.tech/whitepaper/,no,,,,
Safex Cash,SFX,,,,,,,,,,,,,,,,,,,,https://safex.io/,https://github.com/safex,https://safex.io/wp-content/uploads/SafexBluePaperJan3.pdf,no,,,,
Scala,XLA,,,,,,,,,,,,,,,,,,,,https://scalaproject.io/,https://github.com/scala-network/,,android node,,,,
Kurrent,KURT,,,,,,,,,,,,,,,,,,,,https://kurrentproject.com/,https://github.com/kurrentproject/Kurrent,,no,,,,
Bridge Protocol,BRDG,,,,,,,,,,,,,,,,,,,,https://bridgeprotocol.io/,https://github.com/bridge-protocol,https://storage.googleapis.com/bridge-assets/bridge-protocol-whitepaper-1_0.pdf,android only,no,,,
Xuez,XUEZ,,,,,,,,,,,,,,,,,,,,https://xuezcoin.com/,https://github.com/xuez,https://drive.google.com/drive/folders/1mCQZEJl7l8NNsOMntG6lCU96VX3zfRnW,no,,,,
Arqma,ARQ,,,,,,,,,,,,,,,,,,,,https://arqma.com/,https://github.com/arqma,https://arqma.github.io/How-Tos/arqma/ArQmA-Like.html,no,,,,
Anoncoin,ANC,,,,,,,,,,,,,,,,,,,,https://anoncoin.net/,https://github.com/Anoncoin/anoncoin,https://github.com/Anoncoin/anoncoin,no,,,,tor no private
Signatum,SIGT,,,,,,,,,,,,,,,,,,,,https://signatum.io/,offline,https://signatum.io/signatum_whitepaper.pdf,offline,,,,
Dreamcoin,DRM,,,,,,,,,,,,,,,,,,,,http://dreamcoin.fi/,https://github.com/tsosunov/Dreamcoin,http://dreamcoin.fi/whitepaperb.pdf,no,,,,
MoX,MOX,,,,,,,,,,,,,,,,,,,,offline,offline,offline,offline,,,,
Quantis Network,QUAN,,,,,,,,,,,,,,,,,,,,https://quantisnetwork.org/,https://github.com/QuantisNetwork,https://quantisnetwork.org/wp-content/uploads/2019/01/Quantis-WP.pdf,no,,,,
AceD,ACED,,,,,,,,,,,,,,,,,,,,https://www.acedcoin.com/#wallets,no,no,no,,,,
X12 Coin,X12,,,,,,,,,,,,,,,,,,,,http://x12coin.com/,https://github.com/x12project/x12-core,http://x12coin.com/X12-Coin-Whitepaper.pdf,offline,,,,offline
Ycash,YEC,,,,,,zcash,,,,,,,,,,,,,,https://www.ycash.xyz/,https://github.com/YcashFoundation/ycash/,,no,,,,
Blur,BLUR,,,,,,,,,,,,,,,,,,,,https://blur.cash/,https://github.com/blur-network/blur,,no,,,,
Wownero,WOW,,,,,,,,,,,,,,,,,,,,https://wownero.org/,https://github.com/wownero/wownero,,no,,,,
Keep Network,KEEP,,,,,,,,,,,,,,,,,,,,https://keep.network/,https://github.com/keep-network,https://keep.network/,no,,,,
Morelo,MRL,,,,,,arqma,,,,,,,,,,,,,,https://github.com/morelo-network/morelo,https://github.com/morelo-network/morelo,http://morelo.is-great.net/MRL-Whitepaper.pdf?i=1,no,,,,
Buxcoin,BUX,,,,,,,,,,,,,,,,,,,,https://www.buxcoins.com/,https://github.com/NewBux/Buxcoin,https://buxcoins.com/white-paper.php,android only,no,,,
Bitgrin,XBG,,,,,,,,,,,,,,,,,,,,https://bitgrin.dev/,https://github.com/bitgrin/bitgrin,https://download.wpsoftware.net/bitcoin/wizardry/mimblewimble.pdf,no,,,,
DMme,DMME,,,,,,,,,,,,,,,,,,,,https://dmme.app/,,,android only,no,,,chat app
PEPS Coin,PEPS,,,,,,,,,,,,,,,,,,,,http://peps.today/,https://github.com/PEPS-Project/peps,,no,,,,
0Cash,ZCH,,,,,,bitcoinz,,,,,,,,,,,,,,https://0cash.org/,https://github.com/0cash/0cash,https://0cash.org/whitepaper.pdf,no,,,,
MoneroV,XMV,,,,,,monero,,,,,,,,,,,,,,https://monerov.org/,https://github.com/monerov,https://monerov.org/MoneroV-Roadmap.pdf,no,,,,